product_id,product_name,category,sub_category,brand,unit_cost,selling_price,supplier_name,launch_date,product_status
1,Whirlpool Household Essentials Model-0001,Grocery,Household Essentials,Whirlpool,3241.76,3628.51,Supplier-007,2022-08-31,Active
2,NEXUS Cricket Model-0002,Sports,Cricket,NEXUS,43688.23,76394.93,Supplier-016,2022-12-01,Active
3,Philips Microwaves Model-0003,Home Appliances,Microwaves,Philips,27399.28,43470.0,Supplier-026,2020-01-26,Active
4,Nike Beverages Model-0004,Grocery,Beverages,Nike,34842.93,45692.74,Supplier-048,2025-04-02,Active
5,Nike Women Clothing Model-0005,Fashion,Women Clothing,Nike,15651.75,25962.08,Supplier-043,2025-03-28,Active
6,Whirlpool Fragrances Model-0006,Beauty,Fragrances,Whirlpool,19337.03,32520.87,Supplier-039,2024-06-19,Active
7,Sony Washing Machines Model-0007,Home Appliances,Washing Machines,Sony,29226.42,35843.35,Supplier-024,2020-02-10,Active
8,Boat Outdoor Model-0008,Sports,Outdoor,Boat,40517.23,46897.72,Supplier-049,2022-03-06,Active
9,Adidas Smart Watches Model-0009,Electronics,Smart Watches,Adidas,42576.67,61804.18,Supplier-001,2025-02-25,Active
10,Dell Football Model-0010,Sports,Football,Dell,1791.25,2841.22,Supplier-043,2020-11-06,Active
11,Whirlpool Beverages Model-0011,Grocery,Beverages,Whirlpool,26255.8,32813.85,Supplier-044,2020-09-10,Active
12,Dell Footwear Model-0012,Fashion,Footwear,Dell,25578.17,35202.17,Supplier-031,2022-02-03,Active
13,Sony Accessories Model-0013,Electronics,Accessories,Sony,589.58,701.82,Supplier-003,2020-12-24,Discontinued
14,Apple Men Clothing Model-0014,Fashion,Men Clothing,Apple,17555.13,25186.17,Supplier-008,2020-11-16,Active
15,Adidas Fragrances Model-0015,Beauty,Fragrances,Adidas,43462.54,62755.39,Supplier-012,2022-01-30,Active
16,Puma Kitchen Appliances Model-0016,Home Appliances,Kitchen Appliances,Puma,46200.81,74350.75,Supplier-045,2022-10-14,Discontinued
17,Samsung Packaged Food Model-0017,Grocery,Packaged Food,Samsung,2825.07,4965.02,Supplier-037,2023-12-20,Active
18,LG Beverages Model-0018,Grocery,Beverages,LG,9147.22,13809.81,Supplier-045,2023-01-16,Active
19,Lenovo Men Clothing Model-0019,Fashion,Men Clothing,Lenovo,37141.32,52090.19,Supplier-006,2023-11-16,Active
20,LG Washing Machines Model-0020,Home Appliances,Washing Machines,LG,2728.76,4130.41,Supplier-025,2023-02-10,Active
21,Philips Skincare Model-0021,Beauty,Skincare,Philips,9487.26,16665.28,Supplier-011,2023-11-28,Active
22,Nike Men Clothing Model-0022,Fashion,Men Clothing,Nike,11046.89,18377.28,Supplier-008,2025-05-30,Active
23,Lenovo Accessories Model-0023,Fashion,Accessories,Lenovo,3124.71,4189.77,Supplier-033,2021-12-17,Active
24,Philips Fitness Equipment Model-0024,Sports,Fitness Equipment,Philips,20754.16,34565.44,Supplier-029,2025-10-03,Active
25,Sony Skincare Model-0025,Beauty,Skincare,Sony,17072.85,30269.48,Supplier-046,2023-06-11,Active
26,Nike Washing Machines Model-0026,Home Appliances,Washing Machines,Nike,7833.45,8943.08,Supplier-045,2024-01-06,Active
27,Puma Sportswear Model-0027,Sports,Sportswear,Puma,18254.65,29873.78,Supplier-038,2022-02-04,Active
28,Lenovo Smart Watches Model-0028,Electronics,Smart Watches,Lenovo,9424.32,16204.3,Supplier-042,2021-10-05,Active
29,Lenovo Cricket Model-0029,Sports,Cricket,Lenovo,21580.09,32440.52,Supplier-048,2020-10-21,Active
30,LG Smart Watches Model-0030,Electronics,Smart Watches,LG,45717.25,71072.0,Supplier-015,2025-05-20,Active
31,Lenovo Football Model-0031,Sports,Football,Lenovo,3659.28,5278.2,Supplier-025,2025-04-29,Active
32,LG Skincare Model-0032,Beauty,Skincare,LG,7332.98,9567.55,Supplier-003,2021-11-09,Active
33,Philips Smartphones Model-0033,Electronics,Smartphones,Philips,10403.26,15445.92,Supplier-012,2020-03-17,Active
34,Nike Snacks Model-0034,Grocery,Snacks,Nike,35500.53,54888.32,Supplier-037,2022-08-31,Active
35,Apple Men Clothing Model-0035,Fashion,Men Clothing,Apple,16543.25,27954.63,Supplier-006,2020-10-07,Active
36,Sony Beverages Model-0036,Grocery,Beverages,Sony,2779.8,4657.36,Supplier-006,2022-08-01,Active
37,Philips Kitchen Appliances Model-0037,Home Appliances,Kitchen Appliances,Philips,26022.15,43496.2,Supplier-034,2025-01-18,Active
38,Prestige Laptops Model-0038,Electronics,Laptops,Prestige,47126.95,76521.62,Supplier-020,2021-07-30,Active
39,Dell Household Essentials Model-0039,Grocery,Household Essentials,Dell,20015.98,34579.22,Supplier-048,2020-01-29,Active
40,HP Fragrances Model-0040,Beauty,Fragrances,HP,21402.41,25898.95,Supplier-030,2025-02-13,Active
41,Philips Household Essentials Model-0041,Grocery,Household Essentials,Philips,39168.57,47175.64,Supplier-016,2020-09-25,Active
42,Whirlpool Packaged Food Model-0042,Grocery,Packaged Food,Whirlpool,15486.7,17773.65,Supplier-008,2025-03-01,Active
43,Philips Footwear Model-0043,Fashion,Footwear,Philips,33663.97,44927.43,Supplier-045,2021-05-12,Active
44,Nike Footwear Model-0044,Fashion,Footwear,Nike,47278.09,74215.67,Supplier-014,2022-12-01,Active
45,Lenovo Microwaves Model-0045,Home Appliances,Microwaves,Lenovo,27864.83,40526.23,Supplier-024,2023-09-19,Active
46,Philips Accessories Model-0046,Electronics,Accessories,Philips,30355.33,46849.91,Supplier-007,2024-12-22,Active
47,Dell Accessories Model-0047,Electronics,Accessories,Dell,22710.6,33493.63,Supplier-016,2020-11-24,Active
48,Puma Outdoor Model-0048,Sports,Outdoor,Puma,14442.17,24215.99,Supplier-045,2020-02-15,Active
49,Whirlpool Haircare Model-0049,Beauty,Haircare,Whirlpool,41014.59,52319.21,Supplier-032,2025-08-03,Active
50,Lenovo Snacks Model-0050,Grocery,Snacks,Lenovo,22552.32,31672.75,Supplier-015,2024-02-18,Active
51,Philips Accessories Model-0051,Fashion,Accessories,Philips,4076.69,6891.96,Supplier-008,2020-02-17,Active
52,Apple Fitness Equipment Model-0052,Sports,Fitness Equipment,Apple,21413.38,25266.25,Supplier-039,2025-10-31,Active
53,Apple Makeup Model-0053,Beauty,Makeup,Apple,49913.01,69627.87,Supplier-050,2022-04-05,Active
54,Apple Snacks Model-0054,Grocery,Snacks,Apple,48441.29,83257.08,Supplier-045,2023-11-13,Active
55,Nike Smart Watches Model-0055,Electronics,Smart Watches,Nike,30832.48,49310.63,Supplier-002,2025-07-14,Active
56,Adidas Footwear Model-0056,Fashion,Footwear,Adidas,5887.99,9324.88,Supplier-019,2022-01-10,Active
57,Lenovo Smart Watches Model-0057,Electronics,Smart Watches,Lenovo,47759.87,54715.65,Supplier-040,2020-02-26,Active
58,Apple Cricket Model-0058,Sports,Cricket,Apple,25928.02,46121.52,Supplier-019,2021-11-02,Discontinued
59,Whirlpool Microwaves Model-0059,Home Appliances,Microwaves,Whirlpool,20514.56,35723.48,Supplier-030,2021-05-03,Active
60,Lenovo Smart Watches Model-0060,Electronics,Smart Watches,Lenovo,45685.28,71063.14,Supplier-019,2025-06-20,Active
61,NEXUS Outdoor Model-0061,Sports,Outdoor,NEXUS,38542.51,55328.05,Supplier-013,2023-10-25,Active
62,LG Beverages Model-0062,Grocery,Beverages,LG,36321.23,64455.04,Supplier-022,2024-01-19,Active
63,Sony Laptops Model-0063,Electronics,Laptops,Sony,11398.78,19746.23,Supplier-027,2024-03-06,Active
64,Sony Washing Machines Model-0064,Home Appliances,Washing Machines,Sony,9251.55,12866.2,Supplier-015,2023-12-07,Active
65,Philips Fragrances Model-0065,Beauty,Fragrances,Philips,25873.02,31994.43,Supplier-032,2025-04-23,Active
66,Nike Refrigerators Model-0066,Home Appliances,Refrigerators,Nike,11576.32,17293.32,Supplier-032,2021-05-09,Active
67,LG Packaged Food Model-0067,Grocery,Packaged Food,LG,23322.32,27469.03,Supplier-025,2024-10-08,Active
68,Adidas Footwear Model-0068,Fashion,Footwear,Adidas,36716.55,60685.6,Supplier-011,2025-11-03,Active
69,Boat Microwaves Model-0069,Home Appliances,Microwaves,Boat,21686.38,32929.62,Supplier-020,2024-02-28,Active
70,Puma Men Clothing Model-0070,Fashion,Men Clothing,Puma,19713.58,34867.93,Supplier-038,2023-05-13,Active
71,Philips Washing Machines Model-0071,Home Appliances,Washing Machines,Philips,9522.27,14353.02,Supplier-001,2020-05-03,Active
72,Boat Outdoor Model-0072,Sports,Outdoor,Boat,8825.32,13728.33,Supplier-037,2022-02-13,Active
73,Lenovo Refrigerators Model-0073,Home Appliances,Refrigerators,Lenovo,1555.85,2096.83,Supplier-028,2023-10-30,Active
74,Philips Washing Machines Model-0074,Home Appliances,Washing Machines,Philips,21498.15,25500.32,Supplier-047,2020-07-14,Active
75,HP Skincare Model-0075,Beauty,Skincare,HP,5490.85,9316.09,Supplier-050,2024-11-01,Active
76,HP Smart Watches Model-0076,Electronics,Smart Watches,HP,16698.1,24691.22,Supplier-024,2020-11-04,Active
77,Nike Men Clothing Model-0077,Fashion,Men Clothing,Nike,32239.29,55961.89,Supplier-016,2023-12-21,Active
78,Apple Accessories Model-0078,Electronics,Accessories,Apple,26492.79,40031.47,Supplier-019,2020-09-18,Active
79,Philips Washing Machines Model-0079,Home Appliances,Washing Machines,Philips,15706.52,21745.39,Supplier-015,2022-07-31,Active
80,Whirlpool Fitness Equipment Model-0080,Sports,Fitness Equipment,Whirlpool,43844.81,55075.52,Supplier-010,2021-01-14,Active
81,Prestige Beverages Model-0081,Grocery,Beverages,Prestige,5370.23,9114.31,Supplier-012,2025-12-29,Active
82,Whirlpool Refrigerators Model-0082,Home Appliances,Refrigerators,Whirlpool,35053.87,40379.87,Supplier-010,2025-01-31,Active
83,Prestige Headphones Model-0083,Electronics,Headphones,Prestige,32088.66,37264.04,Supplier-030,2024-09-14,Active
